cantidadElementos,microsegundosEjec,segundosEjec
1000,2,5171.000000,0.005173
1000,2,1065.000000,0.001066
1000,2,5079.000000,0.005081
5000,2,26014.000000,0.026014
5000,2,54290.000000,0.054292
5000,2,26044.000000,0.026045
10000,2,133768.000000,0.133770
10000,2,134039.000000,0.134039
10000,2,134959.000000,0.134962
50000,2,2638285.000000,2.638230
50000,2,2626097.000000,2.626063
50000,2,2634416.000000,2.634373
100000,2,10710362.000000,10.710235
100000,2,12716630.000000,12.716496
100000,2,12760654.000000,12.760502
200000,2,51256015.000000,51.255593
200000,2,51264121.000000,51.263742
200000,2,51347076.000000,51.346626
300000,2,115582898.000000,115.581962
300000,2,115503312.000000,115.502331
300000,2,115404380.000000,115.403344
400000,2,205683652.000000,205.682114
400000,2,205659446.000000,205.657841
400000,2,205316987.000000,205.315289
500000,2,322293831.000000,322.291272
500000,2,321506201.000000,321.503716
500000,2,321478588.000000,321.475608
1000000,2,1301333196.000000,1301.314573
1000000,2,1301028141.000000,1301.011689
1000000,2,1304321928.000000,1304.303485
