cantidadElementos,microsegundosEjec,segundosEjec
1000,4,4777.000000,0.004779
1000,4,542.000000,0.000542
1000,4,2526.000000,0.002527
5000,4,28760.000000,0.028763
5000,4,57192.000000,0.057194
5000,4,40739.000000,0.040720
10000,4,73608.000000,0.073592
10000,4,79988.000000,0.079984
10000,4,96026.000000,0.096028
50000,4,1363075.000000,1.363067
50000,4,1450211.000000,1.450184
50000,4,1471567.000000,1.471555
100000,4,5890682.000000,5.890511
100000,4,7007723.000000,7.007565
100000,4,8200051.000000,8.199860
200000,4,32843026.000000,32.842746
200000,4,32865673.000000,32.865244
200000,4,32787135.000000,32.786850
300000,4,73831791.000000,73.830154
300000,4,73868696.000000,73.867948
300000,4,73894504.000000,73.893821
400000,4,131955023.000000,131.953467
400000,4,132492763.000000,132.490181
400000,4,132099572.000000,132.098153
500000,4,208450152.000000,208.447372
500000,4,207688153.000000,207.685605
500000,4,208625895.000000,208.623178
1000000,4,850788177.000000,850.764355
cantidadElementos,microsegundosEjec,segundosEjec
1000000,4,845022534.000000,844.999023
1000000,4,851534673.000000,851.521790
1000000,4,850414549.000000,850.395133
cantidadElementos,microsegundosEjec,segundosEjec
2000000,4,3425122786.000000,3425.038740
