cantidadElementos, cantidadProcesadores,productoEscalar,microsegundosEjec,segundosEjec
1000,2,20914700,92.000000,0.000093
1000,2,20914700,17.000000,0.000017
1000,2,20914700,99.000000,0.000100
5000,2,2602747700,28.000000,0.000028
5000,2,2602747700,132.000000,0.000133
5000,2,2602747700,127.000000,0.000129
10000,2,20827226450,39.000000,0.000039
10000,2,20827226450,233.000000,0.000235
10000,2,20827226450,39.000000,0.000039
50000,2,2604010556450,733.000000,0.000733
50000,2,2604010556450,148.000000,0.000148
50000,2,2604010556450,756.000000,0.000756
100000,2,12977213284566,277.000000,0.000277
100000,2,12977213284566,1460.000000,0.001459
100000,2,12977213284566,274.000000,0.000275
200000,2,9056046899934,2798.000000,0.002798
200000,2,9056046899934,543.000000,0.000543
200000,2,9056046899934,2784.000000,0.002785
300000,2,8147241191526,808.000000,0.000809
300000,2,8147241191526,4106.000000,0.004107
300000,2,8147241191526,822.000000,0.000823
400000,2,8738239488366,5459.000000,0.005460
400000,2,8738239488366,1081.000000,0.001082
400000,2,8738239488366,5487.000000,0.005488
500000,2,9668672437750,1339.000000,0.001339
500000,2,9668672437750,6847.000000,0.006847
500000,2,9668672437750,1355.000000,0.001356
1000000,2,8404639199518,13657.000000,0.013658
1000000,2,8404639199518,2651.000000,0.002652
1000000,2,8404639199518,13634.000000,0.013608
10000000,2,8496578899054,27021.000000,0.027021
10000000,2,8496578899054,54272.000000,0.054275
10000000,2,8496578899054,26973.000000,0.026973
